0	{"width": 599, "height": 425, "boxes": [{"bbox": [238.4942626953125, 268.0745544433594, 330.60546875, 400.6092529296875], "phrase": "jean"}, {"bbox": [374.5239562988281, 273.5597229003906, 597.6693725585938, 423.8338623046875], "phrase": "jean"}, {"bbox": [282.3489074707031, 318.1702880859375, 385.3259582519531, 424.0], "phrase": "jean"}, {"bbox": [304.8858947753906, 181.62928771972656, 438.1587219238281, 328.2964172363281], "phrase": "leather jacket"}, {"bbox": [375.7523193359375, 110.7270736694336, 454.3810729980469, 208.92581176757812], "phrase": "leather jacket"}, {"bbox": [419.0422058105469, 185.3000946044922, 598.0, 361.9694519042969], "phrase": "leather jacket"}, {"bbox": [90.19600677490234, 126.53166198730469, 125.73751831054688, 152.82228088378906], "phrase": "leather jacket"}, {"bbox": [510.76446533203125, 166.5370635986328, 569.048583984375, 232.58212280273438], "phrase": "leather jacket"}, {"bbox": [288.9058532714844, 182.88671875, 348.4789733886719, 255.89007568359375], "phrase": "leather jacket"}, {"bbox": [131.47756958007812, 114.99730682373047, 161.8332061767578, 137.6933135986328], "phrase": "leather jacket"}, {"bbox": [467.73883056640625, 0.44718533754348755, 488.4081726074219, 146.06137084960938], "phrase": "pole"}, {"bbox": [299.0531311035156, 55.57912826538086, 312.45904541015625, 152.1792755126953], "phrase": "pole"}, {"bbox": [0.04859203100204468, 0.792010486125946, 598.0, 164.8668975830078], "phrase": "tree"}]}
64855	{"width": 599, "height": 425, "boxes": [{"bbox": [238.41583251953125, 271.5079040527344, 329.4122009277344, 400.26519775390625], "phrase": "jean"}, {"bbox": [374.6697082519531, 273.7292785644531, 597.8311767578125, 423.855224609375], "phrase": "jean"}, {"bbox": [304.8590393066406, 182.02490234375, 438.03155517578125, 328.1531066894531], "phrase": "leather jacket"}, {"bbox": [375.7537536621094, 110.72473907470703, 454.3595886230469, 208.89523315429688], "phrase": "leather jacket"}, {"bbox": [419.0552062988281, 185.5809326171875, 598.0, 362.08013916015625], "phrase": "leather jacket"}, {"bbox": [90.18362426757812, 126.54169464111328, 125.7208023071289, 152.78793334960938], "phrase": "leather jacket"}, {"bbox": [510.78961181640625, 166.56265258789062, 569.0609130859375, 232.5702667236328], "phrase": "leather jacket"}, {"bbox": [288.88006591796875, 182.90574645996094, 348.482666015625, 255.88877868652344], "phrase": "leather jacket"}, {"bbox": [131.43942260742188, 114.3382568359375, 161.45028686523438, 137.77989196777344], "phrase": "leather jacket"}, {"bbox": [467.7464294433594, 0.4453107714653015, 488.3932189941406, 146.0574951171875], "phrase": "pole"}, {"bbox": [299.0675048828125, 55.589229583740234, 312.4632568359375, 152.1708221435547], "phrase": "pole"}, {"bbox": [0.01685190200805664, 0.829660177230835, 598.0, 165.15325927734375], "phrase": "tree"}]}
129714	{"width": 780, "height": 585, "boxes": [{"bbox": [334.1964416503906, 12.305647850036621, 669.4073486328125, 64.25699615478516], "phrase": "wall"}, {"bbox": [216.34228515625, 11.801016807556152, 313.8226623535156, 65.5939712524414], "phrase": "window"}]}
202858	{"width": 500, "height": 667, "boxes": [{"bbox": [0.5185902118682861, 253.1958770751953, 409.85693359375, 666.0], "phrase": "bed"}, {"bbox": [0.0, 0.6768708229064941, 499.0, 666.0], "phrase": "bedroom"}, {"bbox": [0.02440810203552246, 579.9136962890625, 499.0, 666.0], "phrase": "floor"}, {"bbox": [401.6175231933594, 562.6488037109375, 499.0, 600.9434814453125], "phrase": "floor"}]}
251874	{"width": 820, "height": 612, "boxes": [{"bbox": [566.6936645507812, 2.6674022674560547, 817.1079711914062, 431.6332092285156], "phrase": "fitter"}, {"bbox": [411.8656005859375, 9.969522476196289, 653.0797119140625, 444.302490234375], "phrase": "fitter"}, {"bbox": [71.095947265625, 108.4707260131836, 360.8979797363281, 506.5743103027344], "phrase": "fitter"}, {"bbox": [2.95563006401062, 253.3576202392578, 406.5408630371094, 606.9244995117188], "phrase": "lace"}, {"bbox": [179.30740356445312, 214.87620544433594, 312.0339660644531, 345.0799560546875], "phrase": "lace"}, {"bbox": [562.4602661132812, 1.427071213722229, 692.206298828125, 147.52447509765625], "phrase": "window"}]}
331950	{"width": 800, "height": 533, "boxes": [{"bbox": [117.51239013671875, 309.1275939941406, 142.6851806640625, 339.6258544921875], "phrase": "chair"}, {"bbox": [654.5932006835938, 354.2055969238281, 719.1884765625, 406.2638854980469], "phrase": "chair"}, {"bbox": [126.15303802490234, 311.8172302246094, 150.40292358398438, 342.2764587402344], "phrase": "chair"}, {"bbox": [359.8617858886719, 314.88934326171875, 385.680419921875, 340.1173095703125], "phrase": "chair"}, {"bbox": [0.12392997741699219, 1.4932353496551514, 240.9315185546875, 452.78582763671875], "phrase": "glass door"}, {"bbox": [0.06165504455566406, 0.4726632833480835, 799.0, 532.0], "phrase": "lobby"}]}
432666	{"width": 771, "height": 699, "boxes": [{"bbox": [403.443115234375, 310.4514465332031, 489.5297546386719, 601.3473510742188], "phrase": "entrance"}, {"bbox": [0.956120491027832, 599.732177734375, 769.702880859375, 696.3552856445312], "phrase": "step"}, {"bbox": [130.8383026123047, 189.56283569335938, 185.9669189453125, 245.41908264160156], "phrase": "window"}, {"bbox": [208.22503662109375, 190.27096557617188, 268.6875, 244.82992553710938], "phrase": "window"}, {"bbox": [390.2373046875, 190.72427368164062, 456.8406982421875, 243.72093200683594], "phrase": "window"}, {"bbox": [290.7370300292969, 190.7914276123047, 365.0102233886719, 244.43174743652344], "phrase": "window"}, {"bbox": [480.45855712890625, 190.39755249023438, 544.861083984375, 243.88917541503906], "phrase": "window"}, {"bbox": [608.6123657226562, 194.4479522705078, 640.2263793945312, 246.27394104003906], "phrase": "window"}, {"bbox": [254.59938049316406, 316.0923156738281, 346.6358947753906, 599.9038696289062], "phrase": "window"}, {"bbox": [51.19438934326172, 190.02903747558594, 110.96149444580078, 247.93792724609375], "phrase": "window"}, {"bbox": [655.86328125, 198.17245483398438, 686.784423828125, 248.71875], "phrase": "window"}]}
539890	{"width": 2000, "height": 1000, "boxes": [{"bbox": [738.488525390625, 199.60386657714844, 1058.7166748046875, 492.3450927734375], "phrase": "helmet"}, {"bbox": [413.6989440917969, 77.09049987792969, 575.6008911132812, 193.870849609375], "phrase": "helmet"}, {"bbox": [367.098876953125, 97.04986572265625, 419.5360412597656, 148.27015686035156], "phrase": "helmet"}, {"bbox": [1128.3226318359375, 0.513032078742981, 1344.7330322265625, 189.0000457763672], "phrase": "palm tree"}, {"bbox": [1286.542724609375, 0.4456043243408203, 1497.012939453125, 252.17437744140625], "phrase": "palm tree"}, {"bbox": [1468.1544189453125, 0.3493577241897583, 1696.381591796875, 282.8729248046875], "phrase": "palm tree"}, {"bbox": [607.879638671875, 74.49510955810547, 648.0018920898438, 130.7608184814453], "phrase": "palm tree"}, {"bbox": [643.1072387695312, 67.58230590820312, 684.5789794921875, 108.8890151977539], "phrase": "palm tree"}, {"bbox": [1723.7645263671875, 0.17784535884857178, 1918.5875244140625, 267.160400390625], "phrase": "palm tree"}, {"bbox": [754.1185913085938, 30.649646759033203, 1161.6988525390625, 147.6123504638672], "phrase": "palm tree"}, {"bbox": [614.219482421875, 197.59866333007812, 1390.330078125, 999.0], "phrase": "soldier"}, {"bbox": [117.93974304199219, 78.22430419921875, 704.945556640625, 730.0738525390625], "phrase": "soldier"}]}
988190	{"width": 960, "height": 640, "boxes": [{"bbox": [325.8404846191406, 39.14576721191406, 662.4964599609375, 348.0621032714844], "phrase": "head"}]}
1043658	{"width": 600, "height": 534, "boxes": [{"bbox": [395.0715026855469, 324.91656494140625, 487.28643798828125, 382.9650573730469], "phrase": "paw"}]}
